Normalized_Tellingsområde;Normalized_Tingsted
Olggut Porsáŋgguvuotna / Ytre Porsanger;Kjelvik Tingsted
Davvesiida / Lebesby;Kjøllefjord Tingsted
Sáltesávju / Veidnes;Kjøllefjord Tingsted
Gierbá / Bonøya;Kjelvik Tingsted
Siskkit Porsáŋgguvuotna / Indre Porsanger;Kjelvik Tingsted
Olggut Porsáŋgguvuotna / Ytre Porsanger;Kjelvik Tingsted
Davvesiida / Lebesby;Kjøllefjord Tingsted
Sáltesávju / Veidnes;Kjøllefjord Tingsted
Gierbá / Bonøya;Kjøllefjord Tingsted
Siskkit Porsáŋgguvuotna / Indre Porsanger;Kjelvik Tingsted
Olggut Porsáŋgguvuotna / Ytre Porsanger;Kjelvik Tingsted
Davvesiida / Lebesby;Kjøllefjord Tingsted
Sáltesávju / Veidnes;Kjøllefjord Tingsted
Gierbá / Bonøya;Kjøllefjord Tingsted
Siskkit Porsáŋgguvuotna / Indre Porsanger;Kjelvik Tingsted
Olggut Porsáŋgguvuotna / Ytre Porsanger;Kjelvik Tingsted
Øksfjord og Fruvik;Loppa Tingsted
Midtbukta;Alta Tingsted
Midtbukta;Alta Tingsted
Selvika;Ingøy Tingsted
Siskkit Porsáŋgguvuotna / Indre Porsanger;Kjelvik Tingsted
Olggut Porsáŋgguvuotna / Ytre Porsanger;Kjelvik Tingsted
Davvesiida / Lebesby;Kjøllefjord Tingsted
Sáltesávju / Veidnes;Kjøllefjord Tingsted
Gierbá / Bonøya;Kjøllefjord Tingsted
Davvesiida / Lebesby;Kjøllefjord Tingsted
Sáltesávju / Veidnes;Kjøllefjord Tingsted
Gierbá / Bonøya;Kjøllefjord Tingsted
Honningsvåg;Kjelvik Tingsted
Siskkit Porsáŋgguvuotna / Indre Porsanger;Kjelvik Tingsted
Olggut Porsáŋgguvuotna / Ytre Porsanger;Kjelvik Tingsted
Bugøya;Kjøllefjord Tingsted
Sáltesávju / Veidnes;Kjøllefjord Tingsted
Gierbá / Bonøya;Kjøllefjord Tingsted
Siskkit Porsáŋgguvuotna / Indre Porsanger;Kjelvik Tingsted
Olggut Porsáŋgguvuotna / Ytre Porsanger;Kjelvik Tingsted
Fella;Hammerfest Tingsted
Midtbukta;Alta Tingsted
Midtbukta;Alta Tingsted
Fella;Hammerfest Tingsted
Hamna;Vardø Tingsted
Sollnes;Vadsø Tingsted
